Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,2025-08-08 00:00:00,,Liste der Besitzstände,,,,
,TARDOC 1.4c,,,,,,
,Ambulante Pauschalen 1.1c,,,,,,
,,,,,,,
,Typ,"LNr. TARDOC
Basisfallgruppe",Bezeichnung TARDOC / Basisfallgruppe,Besitzstand anmelden möglich,Begründung,Vorgängerposition TARMED 01.09.00_BR,Bezeichnung TARMED
,Pauschale,C02.15*,-,Ja,-,08.2760,"Extractio lentis/Phakoemulsifikation, inkl. Implantation einer künstlichen Linse und Einsetzen eines Kapselspannringes"
,Pauschale,C02.15*,-,Ja,-,08.2760,"Extractio lentis/Phakoemulsifikation, inkl. Implantation einer künstlichen Linse und Einsetzen eines Kapselspannringes"
,Pauschale,C02.15*,-,Ja,-,08.2850,"Sekundärimplantation einer künstlichen Vorderkammerlinse, als alleinige Leistung"
,Pauschale,C02.15*,-,Ja,-,08.2870,Sekundärimplantation einer künstlichen Hinterkammerlinse mit Nahtfixation
,Pauschale,C02.15*,-,Ja,-,08.2890,Reposition einer subluxierten künstlichen Linse ohne Nahtfixation
,Pauschale,C02.15*,-,Ja,-,08.2920,"Wundrevision nach Kataraktoperation, als alleinige Leistung"
,Pauschale,C02.15*,-,Ja,-,08.2940,Linsenerhaltende operative Versorgung einer Linsenverletzung
,Pauschale,C02.20*,-,Ja,-,08.3355,Alleinige intravitreale Injektion
,Pauschale,C02.20*,-,Ja,-,08.3355,Alleinige intravitreale Injektion
,Pauschale,C02.25*,-,Ja,-,08.3410,"Schieloperation, gerade Augenmuskeln, erster Muskel"
,Pauschale,C02.25*,-,Ja,-,08.3450,"Schieloperation, schräger Augenmuskel, M. obliquus inferior, pro Muskel"
,Pauschale,C02.25*,-,Ja,-,08.3450,"Schieloperation, schräger Augenmuskel, M. obliquus inferior, pro Muskel"
,Pauschale,C02.25*,-,Ja,-,08.3460,"Schieloperation, schräger Augenmuskel, M. obliquus superior, pro Muskel"
,Pauschale,C02.25*,-,Ja,-,08.3460,"Schieloperation, schräger Augenmuskel, M. obliquus superior, pro Muskel"
,Pauschale,C02.30*,-,Ja,-,04.3140,"Lidplastik, erstes Lid"
